replicate,round,arm,input_tokens,output_tokens,error
0,10,anchored,531,454,
3,10,anchored,532,455,
4,10,raw_replace,536,459,
2,10,anchored,533,455,
4,10,anchored,534,455,
2,10,raw_replace,537,459,
5,10,anchored,538,460,
3,10,raw_replace,539,462,
1,10,guided,547,464,
3,10,guided,541,638,
0,10,guided,541,474,
5,10,guided,547,464,
0,10,verified,541,670,
2,10,guided,548,633,
1,10,verified,541,669,
3,10,verified,541,670,
4,10,verified,541,651,
5,10,verified,540,688,
2,10,verified,540,652,
6,10,raw_replace,533,456,
6,10,guided,545,462,
7,10,anchored,533,454,
6,10,anchored,532,455,
7,10,raw_replace,535,459,
7,10,guided,545,630,
8,10,raw_replace,534,457,
9,10,anchored,534,457,
8,10,anchored,536,458,
8,10,guided,549,466,
10,10,raw_replace,536,459,
11,10,raw_replace,535,440,
9,10,raw_replace,539,462,
10,10,guided,547,463,
6,10,verified,541,670,
10,10,anchored,535,459,
9,10,guided,553,464,
11,10,anchored,534,455,
8,10,verified,542,671,
7,10,verified,539,689,
10,10,verified,541,670,
11,10,guided,548,632,
9,10,verified,540,689,
12,10,raw_replace,537,460,
13,10,raw_replace,538,461,
13,10,anchored,534,456,
14,10,raw_replace,532,455,
11,10,verified,537,683,
12,10,anchored,531,434,
12,10,guided,550,464,
15,10,raw_replace,539,461,
15,10,anchored,535,457,
14,10,anchored,534,456,
13,10,guided,547,466,
14,10,guided,547,464,
15,10,guided,549,461,
12,10,verified,541,670,
14,10,verified,540,651,
13,10,verified,541,668,
15,10,verified,541,671,
